Date,Event (NC=Last Trading; C=Clearing; H=Holiday; T=Tradeday),Code,HSI,MHI,HKEXHSI,HHI,HSICALLCODE,HSIPUTCODE,HSICALLPATTERN,HSIPUTPATTERN
2009-01-01,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-01-02,T,F,HSIF9,MHIF9,0901,HHIF9,A9,M9,HSI<STRIKE>A9,HSI<STRIKE>M9
2009-01-03,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-01-04,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-01-05,T,F,HSIF9,MHIF9,0901,HHIF9,A9,M9,HSI<STRIKE>A9,HSI<STRIKE>M9
2009-01-06,T,F,HSIF9,MHIF9,0901,HHIF9,A9,M9,HSI<STRIKE>A9,HSI<STRIKE>M9
2009-01-07,T,F,HSIF9,MHIF9,0901,HHIF9,A9,M9,HSI<STRIKE>A9,HSI<STRIKE>M9
2009-01-08,T,F,HSIF9,MHIF9,0901,HHIF9,A9,M9,HSI<STRIKE>A9,HSI<STRIKE>M9
2009-01-09,T,F,HSIF9,MHIF9,0901,HHIF9,A9,M9,HSI<STRIKE>A9,HSI<STRIKE>M9
2009-01-10,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-01-11,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-01-12,T,F,HSIF9,MHIF9,0901,HHIF9,A9,M9,HSI<STRIKE>A9,HSI<STRIKE>M9
2009-01-13,T,F,HSIF9,MHIF9,0901,HHIF9,A9,M9,HSI<STRIKE>A9,HSI<STRIKE>M9
2009-01-14,T,F,HSIF9,MHIF9,0901,HHIF9,A9,M9,HSI<STRIKE>A9,HSI<STRIKE>M9
2009-01-15,T,F,HSIF9,MHIF9,0901,HHIF9,A9,M9,HSI<STRIKE>A9,HSI<STRIKE>M9
2009-01-16,T,F,HSIF9,MHIF9,0901,HHIF9,A9,M9,HSI<STRIKE>A9,HSI<STRIKE>M9
2009-01-17,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-01-18,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-01-19,T,F,HSIF9,MHIF9,0901,HHIF9,A9,M9,HSI<STRIKE>A9,HSI<STRIKE>M9
2009-01-20,T,F,HSIF9,MHIF9,0901,HHIF9,A9,M9,HSI<STRIKE>A9,HSI<STRIKE>M9
2009-01-21,T,F,HSIF9,MHIF9,0901,HHIF9,A9,M9,HSI<STRIKE>A9,HSI<STRIKE>M9
2009-01-22,T,F,HSIF9,MHIF9,0901,HHIF9,A9,M9,HSI<STRIKE>A9,HSI<STRIKE>M9
2009-01-23,T,F,HSIF9,MHIF9,0901,HHIF9,A9,M9,HSI<STRIKE>A9,HSI<STRIKE>M9
2009-01-24,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-01-25,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-01-26,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-01-27,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-01-28,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-01-29,NC,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-01-30,C,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-01-31,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-02-01,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-02-02,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-03,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-04,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-05,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-06,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-07,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-02-08,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-02-09,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-10,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-11,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-12,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-13,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-14,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-02-15,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-02-16,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-17,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-18,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-19,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-20,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-21,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-02-22,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-02-23,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-24,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-25,T,G,HSIG9,MHIG9,0902,HHIG9,B9,N9,HSI<STRIKE>B9,HSI<STRIKE>N9
2009-02-26,NC,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-02-27,C,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-02-28,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-03-01,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-03-02,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-03,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-04,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-05,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-06,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-07,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-03-08,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-03-09,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-10,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
